KNU_ID,KNOT_ID,KNU_Type,Artifact_Class,Expected_Location,Title,Acceptance_Criteria,Verification_Method,Owner_AoR,Due_Date,Status,Effort_Predicted,Priority,REC
KNU-95-00-001-REQ-001,KNOT-95-00-001,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,ML Certification Basis Requirements,"Certification basis defined for each ML application; DAL allocation justified; MoC identified",Review,STK_CERT,2026-05-15,PLANNED,13,HIGH,LC02
KNU-95-00-001-ANA-001,KNOT-95-00-001,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Means of Compliance Analysis,"MoC matrix complete for EASA AI Roadmap objectives; gaps identified; alternative means proposed",Review,STK_CERT,2026-07-15,PLANNED,21,HIGH,LC05
KNU-95-00-001-SAF-001,KNOT-95-00-001,SAF,SSOT,../LC03_SAFETY_RELIABILITY/,ML Safety Assessment Methodology,"Safety assessment methodology defined; integration with ARP 4761A; ML-specific hazards addressed",Review,STK_SAF,2026-06-30,PLANNED,13,HIGH,LC03
KNU-95-00-001-ICD-001,KNOT-95-00-001,ICD,SSOT,../LC04_DESIGN_DEFINITION/,Authority Engagement Plan,"Engagement plan approved; CRI/IP schedule defined; pre-application meetings planned",Review,STK_CERT,2026-08-31,PLANNED,8,HIGH,LC13
KNU-95-00-001-PUB-001,KNOT-95-00-001,PUB-TRN,CSDB,../../PUB/TRN/CSDB/DM/,DM Certification Strategy Overview (Descriptive),"DM passes BREX; strategy documented for stakeholder communication",BREX+CI,STK_CM,2026-09-15,PLANNED,5,MEDIUM,LC13
KNU-95-00-002-REQ-001,KNOT-95-00-002,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Learning Assurance Objectives,"Objectives defined per DAL; mapped to EASA W-shape; traceability to safety requirements",Review,STK_AI,2026-04-30,PLANNED,13,HIGH,LC02
KNU-95-00-002-ANA-001,KNOT-95-00-002,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Learning Assurance Process Model,"Process model defined; activities mapped to lifecycle; work products identified",Review,STK_AI,2026-06-15,PLANNED,21,HIGH,LC05
KNU-95-00-002-ICD-001,KNOT-95-00-002,ICD,SSOT,../LC04_DESIGN_DEFINITION/,ML Architecture Constraints Specification,"Architectural constraints by DAL; approved topologies; prohibited patterns documented",Review,STK_AI,2026-05-31,PLANNED,13,HIGH,LC13
KNU-95-00-002-CM-001,KNOT-95-00-002,CM,SSOT,../LC08_CONFIGURATION/,ML Development Environment Standard,"Development environment requirements; reproducibility requirements; baseline management",Review,STK_CM,2026-06-30,PLANNED,8,MEDIUM,LC08
KNU-95-00-002-PUB-001,KNOT-95-00-002,PUB-TRN,CSDB,../../PUB/TRN/CSDB/DM/,DM Learning Assurance Guidelines (Descriptive),"DM passes BREX; guidelines implementable by development team",BREX+CI,STK_CM,2026-08-15,PLANNED,5,MEDIUM,LC13
KNU-95-00-003-REQ-001,KNOT-95-00-003,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Training Data Quality Requirements,"Quality requirements by DAL; metrics defined; acceptance criteria specified",Review,STK_DATA,2026-04-15,PLANNED,13,HIGH,LC02
KNU-95-00-003-ANA-001,KNOT-95-00-003,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Data Representativeness Analysis Framework,"Representativeness criteria defined; ODD coverage methodology; gap analysis approach",Review,STK_DATA,2026-06-15,PLANNED,21,HIGH,LC05
KNU-95-00-003-ANA-002,KNOT-95-00-003,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Bias Detection and Mitigation Analysis,"Bias types catalogued; detection methods defined; mitigation strategies documented",Review,STK_DATA,2026-07-15,PLANNED,13,HIGH,LC05
KNU-95-00-003-CM-001,KNOT-95-00-003,CM,SSOT,../LC08_CONFIGURATION/,Data Versioning and Provenance Standard,"Versioning scheme defined; provenance chain requirements; audit trail requirements",Review,STK_CM,2026-05-31,PLANNED,8,HIGH,LC08
KNU-95-00-003-ICD-001,KNOT-95-00-003,ICD,SSOT,../LC04_DESIGN_DEFINITION/,Data Pipeline Architecture,"Pipeline architecture defined; quality gates specified; integration with DPP",Review,STK_DATA,2026-06-30,PLANNED,13,MEDIUM,LC13
KNU-95-00-003-PUB-001,KNOT-95-00-003,PUB-TRN,CSDB,../../PUB/TRN/CSDB/DM/,DM Training Data Management Procedure (Procedural),"DM passes BREX; procedure implementable; checklists included",BREX+CI,STK_CM,2026-07-31,PLANNED,5,MEDIUM,LC13
KNU-95-00-004-REQ-001,KNOT-95-00-004,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,ML Verification Requirements,"V&V objectives by DAL; coverage criteria defined; robustness requirements specified",Review,STK_TEST,2026-05-15,PLANNED,13,HIGH,LC02
KNU-95-00-004-ANA-001,KNOT-95-00-004,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Neural Network Coverage Analysis,"Coverage metrics evaluated; structural coverage alternatives; neuron coverage analysis",Review,STK_TEST,2026-07-15,PLANNED,21,HIGH,LC05
KNU-95-00-004-ANA-002,KNOT-95-00-004,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Formal Methods Applicability Analysis,"Formal verification applicability assessed; tool landscape surveyed; limitations documented",Review,STK_AI,2026-07-31,PLANNED,13,MEDIUM,LC05
KNU-95-00-004-TEST-001,KNOT-95-00-004,TEST,SSOT,../LC06_VERIFICATION/,Robustness Testing Framework,"Test framework defined; perturbation methods specified; pass/fail criteria established",Review,STK_TEST,2026-08-15,PLANNED,13,HIGH,LC06
KNU-95-00-004-TEST-002,KNOT-95-00-004,TEST,SSOT,../LC06_VERIFICATION/,Adversarial Testing Procedure,"Adversarial attack types catalogued; test procedures defined; acceptance criteria specified",Review,STK_TEST,2026-08-31,PLANNED,8,HIGH,LC06
KNU-95-00-004-PUB-001,KNOT-95-00-004,PUB-TRN,CSDB,../../PUB/TRN/CSDB/DM/,DM ML Verification Procedures (Procedural),"DM passes BREX; procedures executable; tool references included",BREX+CI,STK_CM,2026-08-31,PLANNED,5,MEDIUM,LC13
KNU-95-00-005-REQ-001,KNOT-95-00-005,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Runtime Monitoring Requirements,"Monitor requirements by application; detection latency; false alarm rates specified",Review,STK_AI,2026-06-15,PLANNED,13,HIGH,LC02
KNU-95-00-005-ANA-001,KNOT-95-00-005,ANA,SSOT,../LC05_ANALYSIS_MODELS/,OOD Detection Methods Analysis,"Detection methods evaluated; accuracy vs latency tradeoffs; method selection rationale",Review,STK_AI,2026-08-15,PLANNED,21,HIGH,LC05
KNU-95-00-005-ICD-001,KNOT-95-00-005,ICD,SSOT,../LC04_DESIGN_DEFINITION/,Monitor-Model Interface Specification,"Interface defined; data flow specified; timing requirements documented",Review,STK_AI,2026-08-31,PLANNED,8,HIGH,LC13
KNU-95-00-005-SAF-001,KNOT-95-00-005,SAF,SSOT,../LC03_SAFETY_RELIABILITY/,Fallback Mode Safety Analysis,"Fallback modes defined; transition safety analyzed; crew procedures identified",Review,STK_SAF,2026-09-15,PLANNED,13,HIGH,LC03
KNU-95-00-005-PUB-001,KNOT-95-00-005,PUB-AMM,CSDB,../../PUB/AMM/CSDB/DM/,DM Runtime Monitor Maintenance (Procedural),"DM passes BREX; maintenance procedures complete; troubleshooting included",BREX+CI,STK_CM,2026-09-15,PLANNED,5,MEDIUM,LC11
KNU-95-00-006-REQ-001,KNOT-95-00-006,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Explainability Requirements,"Requirements by DAL and application; explanation types specified; fidelity requirements",Review,STK_AI,2026-05-31,PLANNED,13,HIGH,LC02
KNU-95-00-006-ANA-001,KNOT-95-00-006,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Interpretability Methods Analysis,"Methods surveyed; applicability by model type; certification evidence potential assessed",Review,STK_AI,2026-07-31,PLANNED,21,HIGH,LC05
KNU-95-00-006-ICD-001,KNOT-95-00-006,ICD,SSOT,../LC04_DESIGN_DEFINITION/,Explanation Output Specification,"Output formats defined; human factors requirements; integration with displays",Review,STK_HF,2026-08-15,PLANNED,8,MEDIUM,LC13
KNU-95-00-006-PUB-001,KNOT-95-00-006,PUB-TRN,CSDB,../../PUB/TRN/CSDB/DM/,DM Explainability Implementation Guide (Descriptive),"DM passes BREX; guidance implementable; examples included",BREX+CI,STK_CM,2026-08-15,PLANNED,5,MEDIUM,LC13
KNU-95-00-007-REQ-001,KNOT-95-00-007,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Human-AI Teaming Requirements,"Teaming requirements defined; trust requirements specified; training requirements identified",Review,STK_HF,2026-05-31,PLANNED,13,HIGH,LC02
KNU-95-00-007-ANA-001,KNOT-95-00-007,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Trust Calibration Analysis,"Trust factors identified; calibration mechanisms proposed; validation approach defined",Review,STK_HF,2026-07-31,PLANNED,13,HIGH,LC05
KNU-95-00-007-SAF-001,KNOT-95-00-007,SAF,SSOT,../LC03_SAFETY_RELIABILITY/,Human-AI Interaction Hazard Analysis,"Interaction hazards identified; mitigations defined; crew procedure implications",Review,STK_SAF,2026-08-15,PLANNED,13,HIGH,LC03
KNU-95-00-007-ICD-001,KNOT-95-00-007,ICD,SSOT,../LC04_DESIGN_DEFINITION/,AI Transparency Interface Specification,"Transparency elements defined; display requirements; audio/visual integration",Review,STK_HF,2026-08-31,PLANNED,8,MEDIUM,LC13
KNU-95-00-007-PUB-001,KNOT-95-00-007,PUB-TRN,CSDB,../../PUB/TRN/CSDB/DM/,DM Human-AI Interaction Design Guide (Descriptive),"DM passes BREX; design principles documented; examples provided",BREX+CI,STK_CM,2026-08-31,PLANNED,5,MEDIUM,LC13
KNU-95-00-008-REQ-001,KNOT-95-00-008,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,ML Tool Qualification Requirements,"TQL by tool category; qualification scope defined; DO-330 mapping established",Review,STK_SW,2026-06-15,PLANNED,13,HIGH,LC02
KNU-95-00-008-ANA-001,KNOT-95-00-008,ANA,SSOT,../LC05_ANALYSIS_MODELS/,ML Framework Qualification Analysis,"Frameworks assessed; qualification gaps identified; mitigation strategies proposed",Review,STK_SW,2026-08-31,PLANNED,21,HIGH,LC05
KNU-95-00-008-ANA-002,KNOT-95-00-008,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Training Pipeline Tool Analysis,"Pipeline tools catalogued; qualification requirements assessed; verification approach defined",Review,STK_SW,2026-09-15,PLANNED,13,HIGH,LC05
KNU-95-00-008-CM-001,KNOT-95-00-008,CM,SSOT,../LC08_CONFIGURATION/,ML Toolchain Configuration Standard,"Toolchain versions baselined; reproducibility requirements; environment specification",Review,STK_CM,2026-09-30,PLANNED,8,MEDIUM,LC08
KNU-95-00-008-PUB-001,KNOT-95-00-008,PUB-TRN,CSDB,../../PUB/TRN/CSDB/DM/,DM ML Tool Qualification Procedure (Procedural),"DM passes BREX; qualification procedures complete; evidence templates included",BREX+CI,STK_CM,2026-09-30,PLANNED,5,MEDIUM,LC13
